,EPPO_CODE,preferred_name,synonym,ds_language,pivot,EFSA_PHT
66,XANTTO,Xanthomonas oryzae pv. oryzicola,leaf streak of rice,en,leaf streak of rice,XanthomonasOryzae-PHT
67,XANTTO,Xanthomonas oryzae pv. oryzicola,brûlure bactérienne du riz,fr,brûlure bactérienne du riz,XanthomonasOryzae-PHT
68,XANTTO,Xanthomonas oryzae pv. oryzicola,stries bactériennes du riz,fr,stries bactériennes du riz,XanthomonasOryzae-PHT
69,XANTTO,Xanthomonas oryzae pv. oryzicola,estrias bacterianas del arroz,es,estrias bacterianas del arroz,XanthomonasOryzae-PHT
70,XANTTO,Xanthomonas oryzae pv. oryzicola,quemaduras bacterianas del arroz,es,quemaduras bacterianas del arroz,XanthomonasOryzae-PHT
71,XANTTO,Xanthomonas oryzae pv. oryzicola,Бактериальная полосатость риса,ru,бактериальная полосатость риса,XanthomonasOryzae-PHT
72,XANTAU,Xanthomonas citri pv. aurantifolii,cancrosis B (B strains),en,cancrosis b (b strains),XanthomonasCitriAurantifolii-PHT
73,XANTAU,Xanthomonas citri pv. aurantifolii,citrus bacteriosis (D strains),en,citrus bacteriosis (d strains),XanthomonasCitriAurantifolii-PHT
74,XANTAU,Xanthomonas citri pv. aurantifolii,citrus canker,en,citrus canker,XanthomonasCitriAurantifolii-PHT
76,XANTAU,Xanthomonas citri pv. aurantifolii,citrus canker,en,citrus canker,XanthomonasCitriCitri-PHT
78,XANTCI,Xanthomonas citri pv. citri,citrus canker,en,citrus canker,XanthomonasCitriAurantifolii-PHT
80,XANTCI,Xanthomonas citri pv. citri,citrus canker,en,citrus canker,XanthomonasCitriCitri-PHT
82,XANTAU,Xanthomonas citri pv. aurantifolii,false canker (B strains),en,false canker (b strains),XanthomonasCitriAurantifolii-PHT
83,XANTAU,Xanthomonas citri pv. aurantifolii,Mexican lime cancrosis (C strains),en,mexican lime cancrosis (c strains),XanthomonasCitriAurantifolii-PHT
84,XANTAU,Xanthomonas citri pv. aurantifolii,South American canker,en,south american canker,XanthomonasCitriAurantifolii-PHT
85,XANTAU,Xanthomonas citri pv. aurantifolii,chancre citrique,fr,chancre citrique,XanthomonasCitriAurantifolii-PHT
87,XANTAU,Xanthomonas citri pv. aurantifolii,chancre citrique,fr,chancre citrique,XanthomonasCitriCitri-PHT
89,XANTCI,Xanthomonas citri pv. citri,chancre citrique,fr,chancre citrique,XanthomonasCitriAurantifolii-PHT
91,XANTCI,Xanthomonas citri pv. citri,chancre citrique,fr,chancre citrique,XanthomonasCitriCitri-PHT
93,XANTCI,Xanthomonas citri pv. citri,Asiatic canker,en,asiatic canker,XanthomonasCitriCitri-PHT
94,XANTCI,Xanthomonas citri pv. citri,Asiatic citrus canker (A strains),en,asiatic citrus canker (a strains),XanthomonasCitriCitri-PHT
95,XANTCI,Xanthomonas citri pv. citri,bacterial canker of citrus,en,bacterial canker of citrus,XanthomonasCitriCitri-PHT
96,XANTCI,Xanthomonas citri pv. citri,cancrosis A (A strains),en,cancrosis a (a strains),XanthomonasCitriCitri-PHT
97,XANTCI,Xanthomonas citri pv. citri,Zitruskrebs,de,zitruskrebs,XanthomonasCitriCitri-PHT
98,XANTCI,Xanthomonas citri pv. citri,bactériose des agrumes,fr,bactériose des agrumes,XanthomonasCitriCitri-PHT
99,XANTCI,Xanthomonas citri pv. citri,chancre bactérien des agrumes,fr,chancre bactérien des agrumes,XanthomonasCitriCitri-PHT
100,XANTCI,Xanthomonas citri pv. citri,chancre des agrumes,fr,chancre des agrumes,XanthomonasCitriCitri-PHT
101,XANTCI,Xanthomonas citri pv. citri,bacteriosis del limonero,es,bacteriosis del limonero,XanthomonasCitriCitri-PHT
102,XANTCI,Xanthomonas citri pv. citri,cancrosis asiática (A),es,cancrosis asiática (a),XanthomonasCitriCitri-PHT
104,XANTCI,Xanthomonas citri pv. citri,cancrosis de los cítricos,es,cancrosis de los cítricos,XanthomonasCitriCitri-PHT
105,XANTCI,Xanthomonas citri pv. citri,cancro batterico degli agrumi,it,cancro batterico degli agrumi,XanthomonasCitriCitri-PHT
106,XANTCI,Xanthomonas citri pv. citri,cancro-cítrico,pt,cancro-cítrico,XanthomonasCitriCitri-PHT
107,XANTCI,Xanthomonas citri pv. citri,рак цитрусовых,ru,рак цитрусовых,XanthomonasCitriCitri-PHT
108,CRSPAN,Anisogramma anomala,blight of hazel,en,blight of hazel,AnisogrammaAnomala-PHT
109,CRSPAN,Anisogramma anomala,eastern blight of filbert,en,eastern blight of filbert,AnisogrammaAnomala-PHT
110,CRSPAN,Anisogramma anomala,brûlure orientale du noisetier,fr,brûlure orientale du noisetier,AnisogrammaAnomala-PHT
111,DIBOMO,Apiosporina morbosa,black knot of cherry,en,black knot of cherry,ApiosporinaMorbosa-PHT
112,DIBOMO,Apiosporina morbosa,black knot of plum,en,black knot of plum,ApiosporinaMorbosa-PHT
113,DIBOMO,Apiosporina morbosa,black knot of stone fruits,en,black knot of stone fruits,ApiosporinaMorbosa-PHT
114,DIBOMO,Apiosporina morbosa,nodule noir du cerisier,fr,nodule noir du cerisier,ApiosporinaMorbosa-PHT
115,DIBOMO,Apiosporina morbosa,nodule noir du pêcher,fr,nodule noir du pêcher,ApiosporinaMorbosa-PHT
116,DIBOMO,Apiosporina morbosa,nodule noir du prunier,fr,nodule noir du prunier,ApiosporinaMorbosa-PHT
117,DIBOMO,Apiosporina morbosa,nodulo negro del cerezo,es,nodulo negro del cerezo,ApiosporinaMorbosa-PHT
118,DIBOMO,Apiosporina morbosa,nodulo negro del ciruelo,es,nodulo negro del ciruelo,ApiosporinaMorbosa-PHT
119,DIBOMO,Apiosporina morbosa,nodulo negro del melocotonero,es,nodulo negro del melocotonero,ApiosporinaMorbosa-PHT
120,PHYOPI,Botryosphaeria kuwatsukai,blister canker of pome fruits,en,blister canker of pome fruits,BotryosphaeriaKuwatsukai-PHT
121,PHYOPI,Botryosphaeria kuwatsukai,physalospora canker of pome fruits,en,physalospora canker of pome fruits,BotryosphaeriaKuwatsukai-PHT
122,PHYOPI,Botryosphaeria kuwatsukai,ring rot of apple,en,ring rot of apple,BotryosphaeriaKuwatsukai-PHT
123,PHYOPI,Botryosphaeria kuwatsukai,wart bark of apple,en,wart bark of apple,BotryosphaeriaKuwatsukai-PHT
124,PHYOPI,Botryosphaeria kuwatsukai,ibokawabyoo,ja,ibokawabyoo,BotryosphaeriaKuwatsukai-PHT
125,PHYOPI,Botryosphaeria kuwatsukai,rinmonbyoo,ja,rinmonbyoo,BotryosphaeriaKuwatsukai-PHT
126,CERAFA,Bretziella fagacearum,oak wilt,en,oak wilt,CeratocystisFagacearum-PHT
128,CERAFA,Bretziella fagacearum,wilt of oak,en,wilt of oak,CeratocystisFagacearum-PHT
129,CERAFA,Bretziella fagacearum,flétrissement américain du chêne,fr,flétrissement américain du chêne,CeratocystisFagacearum-PHT
130,CERAFA,Bretziella fagacearum,marchitez de la encina,es,marchitez de la encina,CeratocystisFagacearum-PHT
131,CERAFA,Bretziella fagacearum,marchitez del roble,es,marchitez del roble,CeratocystisFagacearum-PHT
132,CHMYAR,Chrysomyxa arctostaphyli,broom rust of spruce,en,broom rust of spruce,ChrysomyxaArctostaphyli-PHT
133,CHMYAR,Chrysomyxa arctostaphyli,ferrugem amarela da vassoura de bruxa,pt,ferrugem amarela da vassoura de bruxa,ChrysomyxaArctostaphyli-PHT
134,CHMYAR,Chrysomyxa arctostaphyli,ржавчина хвои ели,ru,ржавчина хвои ели,ChrysomyxaArctostaphyli-PHT
135,ENDCPI,Cronartium pini,stem rust of pine,en,stem rust of pine,Cronartium-PHT
136,CRONRI,Cronartium ribicola,rouille du pin à cinq feuilles,fr,rouille du pin à cinq feuilles,Cronartium-PHT
137,CRONRI,Cronartium ribicola,rouille du pin du Lord,fr,rouille du pin du lord,Cronartium-PHT
138,CRONRI,Cronartium ribicola,rouille du pin Weymouth,fr,rouille du pin weymouth,Cronartium-PHT
139,CRONRI,Cronartium ribicola,rouille vésiculeuse du pin blanc,fr,rouille vésiculeuse du pin blanc,Cronartium-PHT
140,CERAVI,Davidsoniella virescens,sapstreak disease of maple,en,sapstreak disease of maple,CeratocystisVirescens-PHT
141,ELSIAU,Elsinoë australis,scab of sweet orange,en,scab of sweet orange,ElsinoeAustralis-PHT
142,ELSIAU,Elsinoë australis,anthracnose de l'oranger,fr,anthracnose de l'oranger,ElsinoeAustralis-PHT
143,ELSIAU,Elsinoë australis,gale des agrumes,fr,gale des agrumes,ElsinoeAustralis-PHT
144,ELSIAU,Elsinoë australis,antracnosis del naranjo,es,antracnosis del naranjo,ElsinoeAustralis-PHT
145,ELSIAU,Elsinoë australis,roña de la naranja dulce,es,roña de la naranja dulce,ElsinoeAustralis-PHT
146,ELSIAU,Elsinoë australis,sarna de la naranja dulce,es,sarna de la naranja dulce,ElsinoeAustralis-PHT
147,ELSIFA,Elsinoë fawcettii,common scab of orange,en,common scab of orange,ElsinoeFawcettii-PHT
148,ELSIFA,Elsinoë fawcettii,scab of citrus,en,scab of citrus,ElsinoeFawcettii-PHT
149,ELSIFA,Elsinoë fawcettii,scab of mango,en,scab of mango,ElsinoeFawcettii-PHT
150,ELSIFA,Elsinoë fawcettii,scab of sour orange,en,scab of sour orange,ElsinoeFawcettii-PHT
151,ELSIFA,Elsinoë fawcettii,gale commune des agrumes,fr,gale commune des agrumes,ElsinoeFawcettii-PHT
152,ELSIFA,Elsinoë fawcettii,scab des agrumes,fr,scab des agrumes,ElsinoeFawcettii-PHT
153,ELSIFA,Elsinoë fawcettii,verrues des agrumes,fr,verrues des agrumes,ElsinoeFawcettii-PHT
154,ELSIFA,Elsinoë fawcettii,costra común de los agrios,es,costra común de los agrios,ElsinoeFawcettii-PHT
155,ELSIFA,Elsinoë fawcettii,roña de los agrios,es,roña de los agrios,ElsinoeFawcettii-PHT
156,ELSIFA,Elsinoë fawcettii,roña de los cítricos,es,roña de los cítricos,ElsinoeFawcettii-PHT
157,ELSIFA,Elsinoë fawcettii,verrugose-dos-citros,pt,verrugose-dos-citros,ElsinoeFawcettii-PHT
158,FUSAAL,Fusarium oxysporum f. sp. albedinis,fusarium wilt of date palm,en,fusarium wilt of date palm,FusariumOxysporumAlbedinis-PHT
159,FUSAAL,Fusarium oxysporum f. sp. albedinis,tracheomycosis of date palm,en,tracheomycosis of date palm,FusariumOxysporumAlbedinis-PHT
160,FUSAAL,Fusarium oxysporum f. sp. albedinis,fusariosis de la palmera de datiles,es,fusariosis de la palmera de datiles,FusariumOxysporumAlbedinis-PHT
161,GUIGLA,Neofusicoccum laricinum,shoot blight of larch,en,shoot blight of larch,BotryosphaeriaLaricina-PHT
162,GUIGLA,Neofusicoccum laricinum,shoot blight of larch,en,shoot blight of larch,SirococcusTsugae-PHT
163,GUIGLA,Neofusicoccum laricinum,Triebsterben: Lärche,de,triebsterben: lärche,BotryosphaeriaLaricina-PHT
164,GYMNCF,Gymnosporangium clavariiforme,rouille de l'aubépine,fr,rouille de l'aubépine,Gymnosporangium-PHT
166,GYMNCO,Gymnosporangium confusum,rouille de l'aubépine,fr,rouille de l'aubépine,Gymnosporangium-PHT
168,GYMNCF,Gymnosporangium clavariiforme,roya del espino albar,es,roya del espino albar,Gymnosporangium-PHT
169,GYMNFU,Gymnosporangium sabinae,rust of juniper,en,rust of juniper,Gymnosporangium-PHT
170,GYMNTR,Gymnosporangium tremelloides,rust of apple,en,rust of apple,Gymnosporangium-PHT
171,INONWE,Coniferiporia weirii,laminated butt rot of conifers,en,laminated butt rot of conifers,PhellinusWeirii-PHT
172,INONWE,Coniferiporia weirii,root rot of conifers,en,root rot of conifers,PhellinusWeirii-PHT
174,INONWE,Coniferiporia weirii,root rot of conifers,en,root rot of conifers,PhymatotrichopsisOmnivora-PHT
176,PHMPOM,Phymatotrichopsis omnivora,root rot of conifers,en,root rot of conifers,PhellinusWeirii-PHT
178,PHMPOM,Phymatotrichopsis omnivora,root rot of conifers,en,root rot of conifers,PhymatotrichopsisOmnivora-PHT
180,INONWE,Coniferiporia weirii,yellow ring rot of conifers,en,yellow ring rot of conifers,PhellinusWeirii-PHT
181,INONWE,Coniferiporia weirii,pourridié des racines des conifères,fr,pourridié des racines des conifères,PhellinusWeirii-PHT
182,INONWE,Coniferiporia weirii,podredumbre de las raíces de las coníferas,es,podredumbre de las raíces de las coníferas,PhellinusWeirii-PHT
183,INONWE,Coniferiporia weirii,"Глеофиллум заборный, заборный трутовик",ru,"глеофиллум заборный, заборный трутовик",PhellinusWeirii-PHT
184,MELMFA,Melampsora farlowii,rust of hemlock,en,rust of hemlock,MelampsoraFarlowii-PHT
185,MELMFA,Melampsora farlowii,rust of tsuga,en,rust of tsuga,MelampsoraFarlowii-PHT
186,MELMFA,Melampsora farlowii,Ржавчина тсуги,ru,ржавчина тсуги,MelampsoraFarlowii-PHT
187,MYCOLL,Mycodiella laricis-leptolepidis,needle cast of Japanese larch,en,needle cast of japanese larch,MycosphaerellaLaricis-Leptolepidis-PHT
188,MYCOLL,Mycodiella laricis-leptolepidis,Септориоз хвои японской лиственницы,ru,септориоз хвои японской лиственницы,MycosphaerellaLaricis-Leptolepidis-PHT
189,PHOMAN,Stagonosporopsis andigena,black blight of potato,en,black blight of potato,StagonosporopsisAndigena-PHT
190,PHOMAN,Stagonosporopsis andigena,leaf spot of potato,en,leaf spot of potato,StagonosporopsisAndigena-PHT
191,PHOMAN,Stagonosporopsis andigena,phoma leaf spot of potato,en,phoma leaf spot of potato,StagonosporopsisAndigena-PHT
192,PHOMAN,Stagonosporopsis andigena,фомозная пятнистость листьев картофеля,ru,фомозная пятнистость листьев картофеля,StagonosporopsisAndigena-PHT
193,PHOMAN,Stagonosporopsis andigena,Черный ожог,ru,черный ожог,StagonosporopsisAndigena-PHT
194,GUIGCI,Phyllosticta citricarpa,black spot of citrus,en,black spot of citrus,PhyllostictaCitricarpa-PHT
195,GUIGCI,Phyllosticta citricarpa,freckle spot of citrus,en,freckle spot of citrus,PhyllostictaCitricarpa-PHT
197,GUIGCI,Phyllosticta citricarpa,hard spot of citrus,en,hard spot of citrus,PhyllostictaCitricarpa-PHT
199,GUIGCI,Phyllosticta citricarpa,shot-hole of citrus,en,shot-hole of citrus,PhyllostictaCitricarpa-PHT
200,GUIGCI,Phyllosticta citricarpa,speckled blotch of citrus,en,speckled blotch of citrus,PhyllostictaCitricarpa-PHT
202,GUIGCI,Phyllosticta citricarpa,virulent spot of citrus,en,virulent spot of citrus,PhyllostictaCitricarpa-PHT
204,GUIGCI,Phyllosticta citricarpa,Fruchtfleckigkeit: Zitrus,de,fruchtfleckigkeit: zitrus,PhyllostictaCitricarpa-PHT
205,GUIGCI,Phyllosticta citricarpa,Schwarzfleckigkeit: Zitrus,de,schwarzfleckigkeit: zitrus,PhyllostictaCitricarpa-PHT
206,GUIGCI,Phyllosticta citricarpa,taches noires des agrumes,fr,taches noires des agrumes,PhyllostictaCitricarpa-PHT
207,GUIGCI,Phyllosticta citricarpa,taches noires des fruits des agrumes,fr,taches noires des fruits des agrumes,PhyllostictaCitricarpa-PHT
208,GUIGCI,Phyllosticta citricarpa,mancha negra de las frutas de cítricos,es,mancha negra de las frutas de cítricos,PhyllostictaCitricarpa-PHT
209,GUIGCI,Phyllosticta citricarpa,manchas negras de los agrios,es,manchas negras de los agrios,PhyllostictaCitricarpa-PHT
210,GUIGCI,Phyllosticta citricarpa,mancha negra dos citrinos,pt,mancha negra dos citrinos,PhyllostictaCitricarpa-PHT
211,GUIGCI,Phyllosticta citricarpa,pinta preta dos citros,pt,pinta preta dos citros,PhyllostictaCitricarpa-PHT
212,GUIGCI,Phyllosticta citricarpa,Черная пятнистость цитрусовых,ru,черная пятнистость цитрусовых,PhyllostictaCitricarpa-PHT
213,PHYSSL,Phyllosticta solitaria,blotch of apple,en,blotch of apple,PhyllostictaSolitaria-PHT
214,PHYSSL,Phyllosticta solitaria,fruit blotch of pome fruits,en,fruit blotch of pome fruits,PhyllostictaSolitaria-PHT
215,PHYSSL,Phyllosticta solitaria,leaf spot of pome fruits,en,leaf spot of pome fruits,PhyllostictaSolitaria-PHT
216,PHYSSL,Phyllosticta solitaria,teig cancer of pome fruits,en,teig cancer of pome fruits,PhyllostictaSolitaria-PHT
217,PHYSSL,Phyllosticta solitaria,blotch du pommier,fr,blotch du pommier,PhyllostictaSolitaria-PHT
218,PHMPOM,Phymatotrichopsis omnivora,cotton root rot,en,cotton root rot,PhymatotrichopsisOmnivora-PHT
219,PHMPOM,Phymatotrichopsis omnivora,phymatotrichum root rot,en,phymatotrichum root rot,PhymatotrichopsisOmnivora-PHT
220,PHMPOM,Phymatotrichopsis omnivora,root rot of soybean,en,root rot of soybean,PhymatotrichopsisOmnivora-PHT
221,PHMPOM,Phymatotrichopsis omnivora,soft rot of cotton,en,soft rot of cotton,PhymatotrichopsisOmnivora-PHT
222,PHMPOM,Phymatotrichopsis omnivora,Texas root rot of alfalfa,en,texas root rot of alfalfa,PhymatotrichopsisOmnivora-PHT
223,PHMPOM,Phymatotrichopsis omnivora,Texas root rot of bean,en,texas root rot of bean,PhymatotrichopsisOmnivora-PHT
224,PHMPOM,Phymatotrichopsis omnivora,Texas root rot of cotton,en,texas root rot of cotton,PhymatotrichopsisOmnivora-PHT
225,PHMPOM,Phymatotrichopsis omnivora,Texas root rot of grapevine,en,texas root rot of grapevine,PhymatotrichopsisOmnivora-PHT
226,PHMPOM,Phymatotrichopsis omnivora,maladie du Texas du cotonnier,fr,maladie du texas du cotonnier,PhymatotrichopsisOmnivora-PHT
227,PHMPOM,Phymatotrichopsis omnivora,rhizoctone du Texas,fr,rhizoctone du texas,PhymatotrichopsisOmnivora-PHT
228,PHMPOM,Phymatotrichopsis omnivora,pudrición texana,es,pudrición texana,PhymatotrichopsisOmnivora-PHT
229,PHMPOM,Phymatotrichopsis omnivora,Техасская корневая гниль,ru,техасская корневая гниль,PhymatotrichopsisOmnivora-PHT
230,PHYTRA,Phytophthora ramorum,Фитофтороз древесных и кустарниковых культур,ru,фитофтороз древесных и кустарниковых культур,PhytophthoraRamorum-PHT
231,CERCAN,Pseudocercospora angolensis,fruit spot of citrus,en,fruit spot of citrus,PseudocercosporaAngolensis-PHT
232,CERCAN,Pseudocercospora angolensis,leaf spot of citrus,en,leaf spot of citrus,PseudocercosporaAngolensis-PHT
233,CERCAN,Pseudocercospora angolensis,cercosporiose des agrumes,fr,cercosporiose des agrumes,PseudocercosporaAngolensis-PHT
234,CERCAN,Pseudocercospora angolensis,фруктовые пятна цитрусовых,ru,фруктовые пятна цитрусовых,PseudocercosporaAngolensis-PHT
235,CERSPD,Pseudocercospora pini-densiflorae,brown needle blight of pine,en,brown needle blight of pine,PseudocercosporaPiniDensiflorae-PHT
236,CERSPD,Pseudocercospora pini-densiflorae,cercospora blight of pine,en,cercospora blight of pine,PseudocercosporaPiniDensiflorae-PHT
237,CERSPD,Pseudocercospora pini-densiflorae,needle blight of pine,en,needle blight of pine,LecanostictaAcicola-PHT
