,synonym,ds_language,NCBI_TAXID,preferred_name,re,match_language,EFSA_PHT,EPPO_CODE
78,enfermedad de Stewart,es,,Pantoea stewartii subsp. stewartii,,,"('PantoeaStewartii-PHT',)","('ERWIST',)"
80,marchitez bacteriana del maíz,es,,Pantoea stewartii subsp. stewartii,,,"('RalstoniaSolanacearum-PHT', 'PantoeaStewartii-PHT')","('ERWIST',)"
83,bacterial wilt,en,,Ralstonia pseudosolanacearum,,,"('RalstoniaSolanacearum-PHT',)","('RALSPS',)"
85,doença do mal murcho,pt,,Ralstonia pseudosolanacearum,,,"('RalstoniaPseudosolanacearum-PHT',)","('RALSPS',)"
87,banana blood disease,en,,Ralstonia syzygii subsp. celebesensis,,,"('RalstoniaSyzygiiSubspCelebesensis-PHT',)","('RALSSC',)"
89,bacterial blight of rice,en,,Xanthomonas oryzae pv. oryzae,,,"('XanthomonasOryzae-PHT',)","('XANTOR',)"
91,bacterial leaf blight of rice,en,,Xanthomonas oryzae pv. oryzae,,,"('XanthomonasOryzae-PHT',)","('XANTOR',)"
93,kresek disease of rice,en,,Xanthomonas oryzae pv. oryzae,,,"('XanthomonasOryzae-PHT',)","('XANTOR',)"
95,leaf blight of rice,en,,Xanthomonas oryzae pv. oryzae,,,"('XanthomonasOryzae-PHT',)","('XANTOR',)"
97,bactériose des feuilles du riz,fr,,Xanthomonas oryzae pv. oryzae,,,"('XanthomonasOryzae-PHT',)","('XANTOR',)"
99,enfermedad bacteriana de las hojas del arroz,es,,Xanthomonas oryzae pv. oryzae,,,"('XanthomonasOryzae-PHT',)","('XANTOR',)"
101,Бактериальный ожог риса,ru,,Xanthomonas oryzae pv. oryzae,,,"('XanthomonasOryzae-PHT',)","('XANTOR',)"
103,bacterial leaf streak of rice,en,,Xanthomonas oryzae pv. oryzicola,,,"('XanthomonasOryzae-PHT',)","('XANTTO',)"
105,leaf streak of rice,en,,Xanthomonas oryzae pv. oryzicola,,,"('XanthomonasOryzae-PHT',)","('XANTTO',)"
107,brûlure bactérienne du riz,fr,,Xanthomonas oryzae pv. oryzicola,,,"('XanthomonasOryzae-PHT',)","('XANTTO',)"
109,stries bactériennes du riz,fr,,Xanthomonas oryzae pv. oryzicola,,,"('XanthomonasOryzae-PHT',)","('XANTTO',)"
111,estrias bacterianas del arroz,es,,Xanthomonas oryzae pv. oryzicola,,,"('XanthomonasOryzae-PHT',)","('XANTTO',)"
113,quemaduras bacterianas del arroz,es,,Xanthomonas oryzae pv. oryzicola,,,"('XanthomonasOryzae-PHT',)","('XANTTO',)"
115,Бактериальная полосатость риса,ru,,Xanthomonas oryzae pv. oryzicola,,,"('XanthomonasOryzae-PHT',)","('XANTTO',)"
117,cancrosis B (B strains),en,,Xanthomonas citri pv. aurantifolii,,,"('XanthomonasCitriAurantifolii-PHT',)","('XANTAU',)"
119,citrus bacteriosis (D strains),en,,Xanthomonas citri pv. aurantifolii,,,"('XanthomonasCitriAurantifolii-PHT',)","('XANTAU',)"
121,citrus canker,en,,Xanthomonas citri pv. aurantifolii,,,"('XanthomonasCitriCitri-PHT', 'XanthomonasCitriAurantifolii-PHT')","('XANTAU', 'XANTCI')"
123,citrus canker,en,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT', 'XanthomonasCitriAurantifolii-PHT')","('XANTAU', 'XANTCI')"
127,false canker (B strains),en,,Xanthomonas citri pv. aurantifolii,,,"('XanthomonasCitriAurantifolii-PHT',)","('XANTAU',)"
129,Mexican lime cancrosis (C strains),en,,Xanthomonas citri pv. aurantifolii,,,"('XanthomonasCitriAurantifolii-PHT',)","('XANTAU',)"
131,South American canker,en,,Xanthomonas citri pv. aurantifolii,,,"('XanthomonasCitriAurantifolii-PHT',)","('XANTAU',)"
133,chancre citrique,fr,,Xanthomonas citri pv. aurantifolii,,,"('XanthomonasCitriCitri-PHT', 'XanthomonasCitriAurantifolii-PHT')","('XANTAU', 'XANTCI')"
135,chancre citrique,fr,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT', 'XanthomonasCitriAurantifolii-PHT')","('XANTAU', 'XANTCI')"
139,Asiatic canker,en,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
141,Asiatic citrus canker (A strains),en,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
143,bacterial canker of citrus,en,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
145,cancrosis A (A strains),en,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
147,Zitruskrebs,de,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
149,bactériose des agrumes,fr,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
151,chancre bactérien des agrumes,fr,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
153,chancre des agrumes,fr,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
155,bacteriosis del limonero,es,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
157,cancrosis asiática (A),es,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
159,cancrosis de los cítricos,es,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
161,cancro batterico degli agrumi,it,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
163,cancro-cítrico,pt,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
165,рак цитрусовых,ru,,Xanthomonas citri pv. citri,,,"('XanthomonasCitriCitri-PHT',)","('XANTCI',)"
167,blight of hazel,en,,Anisogramma anomala,,,"('AnisogrammaAnomala-PHT',)","('CRSPAN',)"
169,eastern blight of filbert,en,,Anisogramma anomala,,,"('AnisogrammaAnomala-PHT',)","('CRSPAN',)"
171,brûlure orientale du noisetier,fr,,Anisogramma anomala,,,"('AnisogrammaAnomala-PHT',)","('CRSPAN',)"
173,black knot of cherry,en,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
175,black knot of plum,en,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
177,black knot of stone fruits,en,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
179,nodule noir du cerisier,fr,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
181,nodule noir du pêcher,fr,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
183,nodule noir du prunier,fr,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
185,nodulo negro del cerezo,es,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
187,nodulo negro del ciruelo,es,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
189,nodulo negro del melocotonero,es,,Apiosporina morbosa,,,"('ApiosporinaMorbosa-PHT',)","('DIBOMO',)"
191,blister canker of pome fruits,en,,Botryosphaeria kuwatsukai,,,"('BotryosphaeriaKuwatsukai-PHT',)","('PHYOPI',)"
193,physalospora canker of pome fruits,en,,Botryosphaeria kuwatsukai,,,"('BotryosphaeriaKuwatsukai-PHT',)","('PHYOPI',)"
195,ring rot of apple,en,,Botryosphaeria kuwatsukai,,,"('BotryosphaeriaKuwatsukai-PHT',)","('PHYOPI',)"
197,wart bark of apple,en,,Botryosphaeria kuwatsukai,,,"('BotryosphaeriaKuwatsukai-PHT',)","('PHYOPI',)"
199,ibokawabyoo,ja,,Botryosphaeria kuwatsukai,,,"('BotryosphaeriaKuwatsukai-PHT',)","('PHYOPI',)"
201,rinmonbyoo,ja,,Botryosphaeria kuwatsukai,,,"('BotryosphaeriaKuwatsukai-PHT',)","('PHYOPI',)"
203,oak wilt,en,,Bretziella fagacearum,,,"('CeratocystisFagacearum-PHT',)","('CERAFA',)"
205,wilt of oak,en,,Bretziella fagacearum,,,"('CeratocystisFagacearum-PHT',)","('CERAFA',)"
207,flétrissement américain du chêne,fr,,Bretziella fagacearum,,,"('CeratocystisFagacearum-PHT',)","('CERAFA',)"
209,marchitez de la encina,es,,Bretziella fagacearum,,,"('CeratocystisFagacearum-PHT',)","('CERAFA',)"
211,marchitez del roble,es,,Bretziella fagacearum,,,"('CeratocystisFagacearum-PHT',)","('CERAFA',)"
213,broom rust of spruce,en,,Chrysomyxa arctostaphyli,,,"('ChrysomyxaArctostaphyli-PHT',)","('CHMYAR',)"
215,ferrugem amarela da vassoura de bruxa,pt,,Chrysomyxa arctostaphyli,,,"('ChrysomyxaArctostaphyli-PHT',)","('CHMYAR',)"
217,ржавчина хвои ели,ru,,Chrysomyxa arctostaphyli,,,"('ChrysomyxaArctostaphyli-PHT',)","('CHMYAR',)"
219,stem rust of pine,en,,Cronartium pini,,,"('Cronartium-PHT',)","('ENDCPI',)"
221,rouille du pin à cinq feuilles,fr,,Cronartium ribicola,,,"('Cronartium-PHT',)","('CRONRI',)"
223,rouille du pin du Lord,fr,,Cronartium ribicola,,,"('Cronartium-PHT',)","('CRONRI',)"
225,rouille du pin Weymouth,fr,,Cronartium ribicola,,,"('Cronartium-PHT',)","('CRONRI',)"
227,rouille vésiculeuse du pin blanc,fr,,Cronartium ribicola,,,"('Cronartium-PHT',)","('CRONRI',)"
229,sapstreak disease of maple,en,,Davidsoniella virescens,,,"('CeratocystisVirescens-PHT',)","('CERAVI',)"
231,scab of sweet orange,en,,Elsinoë australis,,,"('ElsinoeAustralis-PHT',)","('ELSIAU',)"
233,anthracnose de l'oranger,fr,,Elsinoë australis,,,"('ElsinoeAustralis-PHT',)","('ELSIAU',)"
235,gale des agrumes,fr,,Elsinoë australis,,,"('ElsinoeAustralis-PHT',)","('ELSIAU',)"
237,antracnosis del naranjo,es,,Elsinoë australis,,,"('ElsinoeAustralis-PHT',)","('ELSIAU',)"
239,roña de la naranja dulce,es,,Elsinoë australis,,,"('ElsinoeAustralis-PHT',)","('ELSIAU',)"
241,sarna de la naranja dulce,es,,Elsinoë australis,,,"('ElsinoeAustralis-PHT',)","('ELSIAU',)"
243,common scab of orange,en,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
245,scab of citrus,en,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
247,scab of mango,en,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
249,scab of sour orange,en,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
251,gale commune des agrumes,fr,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
253,scab des agrumes,fr,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
255,verrues des agrumes,fr,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
257,costra común de los agrios,es,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
259,roña de los agrios,es,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
261,roña de los cítricos,es,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
263,verrugose-dos-citros,pt,,Elsinoë fawcettii,,,"('ElsinoeFawcettii-PHT',)","('ELSIFA',)"
265,fusarium wilt of date palm,en,,Fusarium oxysporum f. sp. albedinis,,,"('FusariumOxysporumAlbedinis-PHT',)","('FUSAAL',)"
267,tracheomycosis of date palm,en,,Fusarium oxysporum f. sp. albedinis,,,"('FusariumOxysporumAlbedinis-PHT',)","('FUSAAL',)"
269,fusariosis de la palmera de datiles,es,,Fusarium oxysporum f. sp. albedinis,,,"('FusariumOxysporumAlbedinis-PHT',)","('FUSAAL',)"
271,shoot blight of larch,en,,Neofusicoccum laricinum,,,"('SirococcusTsugae-PHT', 'BotryosphaeriaLaricina-PHT')","('GUIGLA',)"
274,Triebsterben: Lärche,de,,Neofusicoccum laricinum,,,"('BotryosphaeriaLaricina-PHT',)","('GUIGLA',)"
276,rouille de l'aubépine,fr,,Gymnosporangium clavariiforme,,,"('Gymnosporangium-PHT',)","('GYMNCF', 'GYMNCO')"
277,rouille de l'aubépine,fr,,Gymnosporangium confusum,,,"('Gymnosporangium-PHT',)","('GYMNCF', 'GYMNCO')"
280,roya del espino albar,es,,Gymnosporangium clavariiforme,,,"('Gymnosporangium-PHT',)","('GYMNCF',)"
282,rust of juniper,en,,Gymnosporangium sabinae,,,"('Gymnosporangium-PHT',)","('GYMNFU',)"
284,rust of apple,en,,Gymnosporangium tremelloides,,,"('Gymnosporangium-PHT',)","('GYMNTR',)"
286,laminated butt rot of conifers,en,,Coniferiporia weirii,,,"('PhellinusWeirii-PHT',)","('INONWE',)"
288,root rot of conifers,en,,Coniferiporia weirii,,,"('PhymatotrichopsisOmnivora-PHT', 'PhellinusWeirii-PHT')","('INONWE', 'PHMPOM')"
290,root rot of conifers,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT', 'PhellinusWeirii-PHT')","('INONWE', 'PHMPOM')"
294,yellow ring rot of conifers,en,,Coniferiporia weirii,,,"('PhellinusWeirii-PHT',)","('INONWE',)"
296,pourridié des racines des conifères,fr,,Coniferiporia weirii,,,"('PhellinusWeirii-PHT',)","('INONWE',)"
298,podredumbre de las raíces de las coníferas,es,,Coniferiporia weirii,,,"('PhellinusWeirii-PHT',)","('INONWE',)"
300,"Глеофиллум заборный, заборный трутовик",ru,,Coniferiporia weirii,,,"('PhellinusWeirii-PHT',)","('INONWE',)"
302,rust of hemlock,en,,Melampsora farlowii,,,"('MelampsoraFarlowii-PHT',)","('MELMFA',)"
304,rust of tsuga,en,,Melampsora farlowii,,,"('MelampsoraFarlowii-PHT',)","('MELMFA',)"
306,Ржавчина тсуги,ru,,Melampsora farlowii,,,"('MelampsoraFarlowii-PHT',)","('MELMFA',)"
308,needle cast of Japanese larch,en,,Mycodiella laricis-leptolepidis,,,"('MycosphaerellaLaricis-Leptolepidis-PHT',)","('MYCOLL',)"
310,Септориоз хвои японской лиственницы,ru,,Mycodiella laricis-leptolepidis,,,"('MycosphaerellaLaricis-Leptolepidis-PHT',)","('MYCOLL',)"
312,black blight of potato,en,,Stagonosporopsis andigena,,,"('StagonosporopsisAndigena-PHT',)","('PHOMAN',)"
314,leaf spot of potato,en,,Stagonosporopsis andigena,,,"('StagonosporopsisAndigena-PHT',)","('PHOMAN',)"
316,phoma leaf spot of potato,en,,Stagonosporopsis andigena,,,"('StagonosporopsisAndigena-PHT',)","('PHOMAN',)"
318,фомозная пятнистость листьев картофеля,ru,,Stagonosporopsis andigena,,,"('StagonosporopsisAndigena-PHT',)","('PHOMAN',)"
320,Черный ожог,ru,,Stagonosporopsis andigena,,,"('StagonosporopsisAndigena-PHT',)","('PHOMAN',)"
322,black spot of citrus,en,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
324,freckle spot of citrus,en,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
326,hard spot of citrus,en,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
328,shot-hole of citrus,en,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
330,speckled blotch of citrus,en,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
332,virulent spot of citrus,en,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
334,Fruchtfleckigkeit: Zitrus,de,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
336,Schwarzfleckigkeit: Zitrus,de,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
338,taches noires des agrumes,fr,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
340,taches noires des fruits des agrumes,fr,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
342,mancha negra de las frutas de cítricos,es,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
344,manchas negras de los agrios,es,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
346,mancha negra dos citrinos,pt,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
348,pinta preta dos citros,pt,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
350,Черная пятнистость цитрусовых,ru,,Phyllosticta citricarpa,,,"('PhyllostictaCitricarpa-PHT',)","('GUIGCI',)"
352,blotch of apple,en,,Phyllosticta solitaria,,,"('PhyllostictaSolitaria-PHT',)","('PHYSSL',)"
354,fruit blotch of pome fruits,en,,Phyllosticta solitaria,,,"('PhyllostictaSolitaria-PHT',)","('PHYSSL',)"
356,leaf spot of pome fruits,en,,Phyllosticta solitaria,,,"('PhyllostictaSolitaria-PHT',)","('PHYSSL',)"
358,teig cancer of pome fruits,en,,Phyllosticta solitaria,,,"('PhyllostictaSolitaria-PHT',)","('PHYSSL',)"
360,blotch du pommier,fr,,Phyllosticta solitaria,,,"('PhyllostictaSolitaria-PHT',)","('PHYSSL',)"
362,cotton root rot,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
364,phymatotrichum root rot,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
366,root rot of soybean,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
368,soft rot of cotton,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
370,Texas root rot of alfalfa,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
372,Texas root rot of bean,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
374,Texas root rot of cotton,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
376,Texas root rot of grapevine,en,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
378,maladie du Texas du cotonnier,fr,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
380,rhizoctone du Texas,fr,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
382,pudrición texana,es,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
384,Техасская корневая гниль,ru,,Phymatotrichopsis omnivora,,,"('PhymatotrichopsisOmnivora-PHT',)","('PHMPOM',)"
386,Фитофтороз древесных и кустарниковых культур,ru,,Phytophthora ramorum,,,"('PhytophthoraRamorum-PHT',)","('PHYTRA',)"
388,fruit spot of citrus,en,,Pseudocercospora angolensis,,,"('PseudocercosporaAngolensis-PHT',)","('CERCAN',)"
390,leaf spot of citrus,en,,Pseudocercospora angolensis,,,"('PseudocercosporaAngolensis-PHT',)","('CERCAN',)"
392,cercosporiose des agrumes,fr,,Pseudocercospora angolensis,,,"('PseudocercosporaAngolensis-PHT',)","('CERCAN',)"
394,фруктовые пятна цитрусовых,ru,,Pseudocercospora angolensis,,,"('PseudocercosporaAngolensis-PHT',)","('CERCAN',)"
396,brown needle blight of pine,en,,Pseudocercospora pini-densiflorae,,,"('PseudocercosporaPiniDensiflorae-PHT',)","('CERSPD',)"
398,cercospora blight of pine,en,,Pseudocercospora pini-densiflorae,,,"('PseudocercosporaPiniDensiflorae-PHT',)","('CERSPD',)"
400,needle blight of pine,en,,Pseudocercospora pini-densiflorae,,,"('PseudocercosporaPiniDensiflorae-PHT', 'LecanostictaAcicola-PHT')","('CERSPD',)"
403,cercosporiose des aiguilles du pin,fr,,Pseudocercospora pini-densiflorae,,,"('PseudocercosporaPiniDensiflorae-PHT',)","('CERSPD',)"
405,cercosporiosis de las aciculas del pino,es,,Pseudocercospora pini-densiflorae,,,"('PseudocercosporaPiniDensiflorae-PHT',)","('CERSPD',)"
407,Коричневый ожог хвои сосны,ru,,Pseudocercospora pini-densiflorae,,,"('PseudocercosporaPiniDensiflorae-PHT',)","('CERSPD',)"
409,common potato rust,en,,Puccinia pittieriana,,,"('PucciniaPittieriana-PHT',)","('PUCCPT',)"
411,common rust of potato,en,,Puccinia pittieriana,,,"('PucciniaPittieriana-PHT',)","('PUCCPT',)"
413,rouille de la pomme de terre,fr,,Puccinia pittieriana,,,"('PucciniaPittieriana-PHT',)","('PUCCPT',)"
415,roya de la papa,es,,Puccinia pittieriana,,,"('PucciniaPittieriana-PHT',)","('PUCCPT',)"
417,roya de la patata,es,,Puccinia pittieriana,,,"('PucciniaPittieriana-PHT',)","('PUCCPT',)"
419,бурая ржавчина картофеля,ru,,Puccinia pittieriana,,,"('PucciniaPittieriana-PHT',)","('PUCCPT',)"
421,annular leaf spot of potato,en,,Septoria malagutii,,,"('SeptoriaMalagutii-PHT',)","('SEPTLM',)"
